Textbox2,Textbox256,Textbox3
State: Karnataka     District: Bangalore R     From Month: January     From Year: 2016     To Month: September     To Year: 2026,Note : All Length in Kms.,NQM* : National Quality Monitor     SQM# : State Quality Monitor

Textbox39,Textbox37,Textbox35,Textbox33,Textbox31,Textbox11,Textbox15,Textbox17,Textbox19,Textbox40,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,Textbox67,Textbox72,Textbox73,Textbox74
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2001-2002,KN0204,Koira Hosur to Koira,1.450,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2001-2002,KN0204,Bommanahally to N.G.Halli,1.500,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2006-2007,KN0235,Hegganahalli - NH-07,8.220,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2006-2007,KN0237,N H -07 - Holerahalli,5.550,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2009-2010,KN0291,Doddathathman gala - T04,3.140,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2009-2010,KN0292,Yerrappanahalli - T08,3.530,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2009-2010,KN0293,Gangavara chowdappanahlly - T05,3.200,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2013-2014,KN02108,"MRL2-Indrasanahalli to NH-07 Via, Hegganahalli, Nagamangala, Chowdanahalli, Sadahalli, Poojanahalli",7.320,0,--,4,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2013-2014,KN02109,"MRL1-Baladimmanahally to Nallur via ramanahally, Jonnahally, Reddihally",3.360,0,--,4,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2013-2014,KN02110,"MRL3-Guduvanahalli to Avathi Via, Koramangala",7.210,2,Satisfactory,3,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2019-2020,KN02120,"MRL07-MDR (Budigere road) to Tellahally agrahara road  via Boodihal, Channahally,Chikka Hosahally",6.550,0,--,12,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2019-2020,KN02121,"MRL09-SH 104 to Taluk Border via, Kondenahally, Kaggalahally, Jonnahally, Devanayakanahally",3.840,1,Satisfactory,9,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2019-2020,KN02122,"MRL21-NH-207 to Taluk Border via, konaginabele, Doddakurubarahally, Varadenahally, Naganayakanahally, ",11.380,1,Satisfactory,10,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Devanahalli,2020-2021,KN02135,"MRL17-NH-207 to Yelahanka Vijayapura Road(MDR-4) via, Haralur, Polanahally, Mattabaralu",7.310,0,--,9,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2001-2002,KN0204,K.S.Road  to Rameshwara,1.150,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2005-2006,KN0221,K S Road  - Akkathammanahalli,10.100,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2008-2009,KN0284,Bankenahalli - T-13,5.380,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2008-2009,KN0286,Kottigemachehalli - T-12,5.440,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2009-2010,KN0295,T.Hosahalli - T15,6.240,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2013-2014,KN02111,"MRL7-Bommanahalli to NH 207 Via, Galibikote, Gundasandra, Hanabe, Basappapalya, Mandibyadrahalli, Ke",8.910,0,--,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2013-2014,KN02112,MRL1 - Bokipura to Kadanuru Via Kalludevanahalli,4.068,0,--,7,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2013-2014,KN02113,"MRL6-Seegepalya to Hulikunte Via, Apakaranahalli",4.240,1,Satisfactory,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2019-2020,KN02123,"MRL06-Kondasandra to MDR 22  via  Thubagere, Nellugudige, Geddalapalya, Palpaldinne",4.400,1,Satisfactory,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2019-2020,KN02124,"MRL11-NH207 to Koluru via Thalagavara, Honnagatta",5.030,1,Satisfactory,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Doddaballapur,2019-2020,KN02125,"T02-MDR 7 to MDR 4( KK Road) via Nellikuntepalya, Nelkunte, Tanda Nagashettihalli, Cheelanahalli,Tippur, Madeswara, Bomanahalli, Kadabyadarahalli ",13.700,1,Satisfactory,13,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2001-2002,KN0209,Athivatta to Thavatahalli,3.000,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2001-2002,KN0209,Chikkathaggali to Thagali Hosahalli,1.500,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2006-2007,KN0245,IMPROVEMETNS TO ROAD FROM NH 4 - UMMALU,16.350,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2007-2008,KN0257,C T Gollahalli - T-01,4.590,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2008-2009,KN0290,Doddanallurahalli - T01,2.050,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2009-2010,KN02100,Gottipura - T04,5.310,0,--,1,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2013-2014,KN02114,"MRL2-Doddanalla To Mylapura NH-4 Via., Nidagatta",5.700,1,Satisfactory,5,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2013-2014,KN02115,"MRL3-Ajjagondanahally to Muthsandra MDR Via., Gulakaipura",5.980,1,Satisfactory,4,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2013-2014,KN02116,"MRL1-Balakune To Thavarekere NH-4 Via., Manchappnahally, Kalappnahally",4.940,1,Satisfactory,5,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2019-2020,KN02126,"MRL24-Banamakanahally MDR to Gundrahally via Agasarahally, Marasandrahally, Sathiganahally, Hedakanahally",5.960,0,--,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2019-2020,KN02127,"MRL23-Kembliganahally to Bavapura via C.T. Gollahally, Malliyappanahally, K- Sathyavara, Channigalapura",6.740,1,Satisfactory,8,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2019-2020,KN02128,"T02-Upparahalli TO Doddakoliga VIA, Muthakadally, Beguru, Kamblipura, Kurubarahally, Sonnadenahally",10.400,0,--,11,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Hosakote,2019-2020,KN02129,"MRL05-Doddakoliga MDR TO Doddanallurahally MDR VIA, Chikkanallurahally, Beguru , Beemakanahally, Bagalur",6.160,1,Satisfactory,11,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Nelamangala,2007-2008,KN0263,Gerehalli - T-04,4.890,1,Unsatisfactory,0,--,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Nelamangala,2013-2014,KN02117,MRL3 - NH-04 To Thyamagondnhalli,5.172,1,Satisfactory,4,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Nelamangala,2013-2014,KN02118,MRL5-Arebommanahalli to Byadrahalli Colony,8.230,0,--,4,Satisfactory,Total,267.520,18,216
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,SQM# Inspection Count,1,Bangalore R,Nelamangala,2013-2014,KN02119,MRL2-Baradi to T-Begur,4.550,1,Satisfactory,4,Satisfactory,Total,267.520,18,216
