Textbox24,Textbox28
State: Karnataka     District : Chickballapur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1901,2000 - 2001,ROAD,NH-7 to Puttaparthi via Kondareddipally,Upgarde,"Kondareddipalli 1 [ 577303], puttaparthi [ 882487]",PBRCP Road to Debbaravaripalli and on to A P Border,"Bellalampalli [ 121302]  { 349} , Dabbavaripalli [ 238385]  { 52} ",20.44,0.00,3.700,0.000,3.700,22.05,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1901,2000 - 2001,ROAD,C.B.Road to C.B.road via varadegaripally,Upgarde,"Kanamakuntepalli [ 499416], Varadaiahgaripalli [ 1088497]",PBRCP Road to Debbaravaripalli and on to A P Border,"Bellalampalli [ 121302]  { 349} , Dabbavaripalli [ 238385]  { 52} ",20.49,0.00,3.400,0.000,3.400,21.75,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1902,2000 - 2001,ROAD,Chelur to Kandakur road,Upgarde,"Chelur [ 213440], Dorvarapalli [ 310478], Nimmakayilapalli [ 784445]",PBRCP Road to Y C Road via Nallasanipalli Kothakotavandla Palli Moogireddypalli,"Laksmipura [ 616506]  { 397} , pulavandlapalli [ 868674]  { 210} ",9.87,0.00,1.750,0.000,1.750,10.76,Completed,Regular PMGSY,B.Bhaskar Naidu [18 Aug 2001],0.00,Financial: 01-04-2005/ Physical: 30-09-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1907,2001 - 2002,ROAD,Julpalya to Pathe palya,Upgarde,"Bandarlapalli [ 87966], Gudipalli [ 380929], Gujjepalli [ 382149], Kothur 2 [ 586158], Nadimpalli [ 740432], Pathapalya [ 836437], Pathkote [ 837499], Sakanappagaripalli [ 938918], Vadigere [ 1083681]",PBRCP Road to Debbaravaripalli and on to A P Border,"Bellalampalli [ 121302]  { 349} , Dabbavaripalli [ 238385]  { 52} ",62.65,0.00,9.000,0.000,9.000,56.77,Completed,Regular PMGSY,JRameshbabu [16 Oct 2002],0.00,Financial: 06-02-2017/ Physical: 30-11-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1910,2001 - 2002,ROAD,Palyakere Somanthapura,Upgarde,"Boodalapalli [ 175030], Doddipalli [ 305851], Gollapalli 2 [ 368992], Gownavaripalli [ 379235], Marimakalapalli [ 681103], Muddalapalli [ 719988], Somanathapura [ 1004061], Yagavanetakuntapalli [ 1108748]",PBRCP Road to Debbaravaripalli and on to A P Border,"Bellalampalli [ 121302]  { 349} , Dabbavaripalli [ 238385]  { 52} ",63.16,0.00,11.000,0.000,11.000,68.45,Completed,Regular PMGSY,Karnataka Land Army Corporation [07 Jul 2002],0.00,Financial: 01-04-2005/ Physical: 31-08-2004,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1914,2003 - 2004,ROAD,Naremaddepalli,Upgarde,Jangallapalli [ 452944],Adinarayanapurai to Peddareddipalli,Adhinarayanapura [ 12621]  { 244} ,13.45,0.00,0.740,0.000,0.740,11.26,Completed,Regular PMGSY,JRameshbabu [09 Sep 2004],0.56,Financial: 06-02-2017/ Physical: 28-02-2006,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1914,2003 - 2004,ROAD,Jillipigarapalli,Upgarde,Jilipigaripalli [ 466330],Nallacheruvu to G. Maddepally via Thollapally Sujnanampally,"Tholapallu  AKC [ 1052422]  { 354} , Vasanthapura [ 1089739]  { 853} ",56.75,0.00,4.300,0.000,4.300,52.04,Completed,Regular PMGSY,JRameshbabu [09 Sep 2004],3.24,Financial: 27-03-2010/ Physical: 31-05-2007,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1925A,2005 - 2006,ROAD,T07 - Giriyapalli,Upgarde,"Hanumantharayanapalli [ 397387], Raddmavarapalli [ 884393], Singanakuduru [ 994482]",C B Road to Y C Road via Ugalanagepalli and Peddathumkepalli,Peddapalli Thanda [ 843794]  { 308} ,81.85,0.00,4.960,0.000,4.960,116.84,Completed,Regular PMGSY,Byrappa [05 Feb 2007],7.17,Financial: 24-03-2009/ Physical: 31-12-2008,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1925B,2005 - 2006,ROAD,DB road - Saddalavarapalli,Upgarde,"Chigaregondalapalli [ 221187], Kadirannagaripalli [ 479618], Mallasandra [ 663329], Sadlavaripalli [ 932612]",Mogachinnepalli to Solimakalapalli,Solimakalapalli [ 1003676]  { 415} ,48.00,0.00,2.500,0.000,2.500,66.65,Completed,Regular PMGSY,Byrappa [05 Feb 2007],3.61,Financial: 31-12-2008/ Physical: 28-02-2008,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1960,2007 - 2008,ROAD,Nallappareddipalli - T-06,Upgarde,"Channarayanapalli [ 205256], Jilajirlu [ 466263], Nallappareddypalli [ 754177], pothepalli [ 863606]",Gulur to Kodikonda AP via Chennarayanapalli Jilajirlu,Nallappareddypalli [ 754177]  { 2558} ,162.79,0.00,6.200,0.000,6.200,174.00,Completed,Regular PMGSY,Byrappa [12 Jun 2008],11.23,Financial: 16-05-2009/ Physical: 31-03-2009,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
