Textbox24,Textbox28
State: Karnataka     District : Tumkur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 2   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25100,2013 - 2014,ROAD,"MRL3-MDR-02 to Kanive cross via Hanumanthanahalli , Ramanahalli and Thimmanahalli.",Upgarde,"Gondipalya [ 370525], Hanumanthanahalli [ 397329], Ramanahalli [ 899761], Siddankatti [ 988388], Thimmanahalli [ 1050314]","MDR-02 to Kanive cross via Hanumanthanahalli , Ramanahalli and Thimmanahalli.","Gondipalya [ 370525]  { 120} , Hanumanthanahalli [ 397329]  { 292} , Ramanahalli [ 899761]  { 1008} , Siddankatti [ 988388]  { 590} , Thimmanahalli [ 1050314]  { 4022} ",557.06,145.40,14.000,0.000,14.000,527.87,Maintenance,Regular PMGSY,M/S K Gowda and Company [04 Mar 2014],40.94,Financial: 16-03-2017/ Physical: 05-09-2015,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Tumkur ,DPIU Of Tumkur,Gubbi,KN25101,2013 - 2014,ROAD,"MRL1-Huvinakatte to SH 84 Via Talekoppa,Maranahally",Upgarde,"Basavanapalya [ 110844], Hanumenahalli palya [ 397587], Maranahalli [ 679356], Sanabanahalli [ 947156], Talekoppa [ 1028794]","Huvinakatte to SH 84 Via Talekoppa,Maranahally","Basavanapalya [ 110844]  { 132} , Hanumenahalli palya [ 397587]  { 133} , Maranahalli [ 679356]  { 995} , Sanabanahalli [ 947156]  { 488} , Talekoppa [ 1028794]  { 1150} ",440.51,115.00,10.900,0.000,10.900,437.10,Maintenance,Regular PMGSY,"N G RAMALINGE GOWDA [04 Mar 2014], Druva eletricals [04 Mar 2014], Druva eletricals [04 Mar 2014]",31.88,Financial: 22-11-2016/ Physical: 31-07-2015,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Tumkur ,DPIU Of Tumkur,Koratagere,KN25102,2013 - 2014,ROAD,MRL2-Kantevaderahally To Kolala,Upgarde,"Bidara Gutte [ 160851], Byatarayanapalya [ 187664], Kantevaderahalli [ 506702], Mitrahalli [ 705758], Narasapura [ 760255]",Kantevaderahally To Kolala,"Bidara Gutte [ 160851]  { 247} , Byatarayanapalya [ 187664]  { 153} , Kantevaderahalli [ 506702]  { 59} , Mitrahalli [ 705758]  { 202} , Narasapura [ 760255]  { 161} ",498.80,128.44,9.500,0.000,9.500,340.91,Maintenance,Regular PMGSY,A.D.Balaramaiah [05 Mar 2014],27.78,Financial: 17-08-2017/ Physical: 01-01-2017,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Tumkur ,DPIU Of Tumkur,Koratagere,KN25103,2013 - 2014,ROAD,MRL1-Chimpuganahally to Mavattur Road,Upgarde,"Chimpugana Halli [ 224035], Madya Venkatapura [ 642779], Nagara Halli [ 742399]",Chimpuganahally to Mavattur Road,"Bandre Halli [ 89625]  { 96} , Chimpugana Halli [ 224035]  { 264} , Madya Venkatapura [ 642779]  { 1087} , Nagara Halli [ 742399]  { 508} ",322.08,82.88,6.080,0.000,6.680,274.39,Maintenance,Regular PMGSY,A.D.Balaramaiah [05 Mar 2014],17.78,Financial: 17-08-2017/ Physical: 30-12-2016,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Tumkur ,DPIU Of Tumkur,Kunigal,KN25104,2013 - 2014,ROAD,"MRL3-Road from MDR-4 K-Bydarahalli to MDR-3 via R-Byadarahalli, kempanahalli, and Tavarakere.",Upgarde,"Ankanahalli [ 39836], Aralimaradadoddi [ 43638], Byadarahalli R [ 187483], Chikkonahalli [ 222747], Karigowdanadoddi [ 513780], Kempanhalli [ 532364]","Road from MDR-4 K-Bydarahalli to MDR-3 via R-Byadarahalli, kempanahalli, and Tavarakere.","Ankanahalli [ 39836]  { 164} , Aralimaradadoddi [ 43638]  { 62} , Byadarahalli R [ 187483]  { 1205} , Chikkonahalli [ 222747]  { 463} , Hosadoddi [ 425941]  { 2000} , Karigowdanadoddi [ 513780]  { 66} , Kempanhalli [ 532364]  { 459} , Shasthripalya [ 978772]  { 82} , Tavarekere [ 1036170]  { 250} ",530.69,136.60,11.570,0.000,11.450,526.70,Maintenance,Regular PMGSY,"M/S K Gowda and Company [04 Mar 2014], Ajay Shree Electricals [17 Aug 2015], Ajay Shree Electricals [17 Aug 2015]",33.84,Financial: 23-03-2017/ Physical: 30-09-2015,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Tumkur ,DPIU Of Tumkur,Madhugiri,KN25105,2013 - 2014,ROAD,"MRL4-Bandrehalli to T-01 via Sompura,Thavakadahalli",Upgarde,"Bijavara [ 162440], Sompura [ 1004580], Tavakadahalli [ 1036140]","Bandrehalli to T-01 via Sompura,Thavakadahalli","Bijavara [ 162440]  { 1610} , Sompura [ 1004580]  { 496} , Tavakadahalli [ 1036140]  { 752} ",246.51,63.46,5.340,0.000,5.340,198.00,Maintenance,Regular PMGSY,M/S K Gowda and Company [03 Jul 2014],15.61,Financial: 28-06-2018/ Physical: 31-01-2016,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Tumkur ,DPIU Of Tumkur,Madhugiri,KN25106,2013 - 2014,ROAD,MRL6-Poojarahalli to T-06,Upgarde,"Banagarahally [ 86402], Giragondanahally [ 362041], Pujarhalli [ 868117]",Poojarahalli to T-06,"Banagarahally [ 86402]  { 135} , Giragondanahally [ 362041]  { 381} , Gollarahatti [ 369295]  { 134} , Gundidibba [ 385135]  { 187} , Pujarhalli [ 868117]  { 550} ",244.94,63.06,5.190,0.000,5.190,180.52,Maintenance,Regular PMGSY,M/S K Gowda and Company [03 Jul 2014],15.18,Financial: 28-06-2018/ Physical: 31-10-2017,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Tumkur ,DPIU Of Tumkur,Madhugiri,KN25107,2013 - 2014,ROAD,"MRL5-Maribeelu to T-07 ,via Gudiroppa",Upgarde,Harihararoppa [ 400787],"Maribeelu to T-07 ,via Gudiroppa",Harihararoppa [ 400787]  { 135} ,226.04,58.19,4.200,0.000,4.200,182.98,Maintenance,Regular PMGSY,M/S K Gowda and Company [03 Jul 2014],12.28,Financial: 28-06-2018/ Physical: 31-05-2015,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Tumkur ,DPIU Of Tumkur,Pavagada,KN25108,2013 - 2014,ROAD,MRL1-T N Betta to T 09,Upgarde,"Chinnammanahalli [ 226353], Ramaiahnapalya [ 899319], T.N Betta [ 1024281]",T N Betta to T 09,"Chinnammanahalli [ 226353]  { 592} , Ramaiahnapalya [ 899319]  { 273} , T.N Betta [ 1024281]  { 2134} ",287.28,74.32,6.840,0.000,6.630,297.52,Maintenance,Regular PMGSY,JayaPrakash [26 May 2014],19.99,Financial: 28-03-2018/ Physical: 03-02-2017,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Tumkur ,DPIU Of Tumkur,Pavagada,KN25109,2013 - 2014,ROAD,T05 - Bupuru Thanda to T-05,Upgarde,"Bommaganahalli [ 173993], Bupur Tanda [ 185671], Kamanadurga [ 495585], Meenukuntehalli [ 692413], Neelammanahalli [ 775868], Rampete [ 904482]",Bupuru Thanda to T-05,"Bommaganahalli [ 173993]  { 394} , Bupur Tanda [ 185671]  { 210} , Kamanadurga [ 495585]  { 1135} , Meenukuntehalli [ 692413]  { 711} , Neelammanahalli [ 775868]  { 961} , Rampete [ 904482]  { 121} ",325.15,84.12,7.370,0.000,7.370,243.61,Completed,Regular PMGSY,JayaPrakash [26 May 2014],21.57,Financial: 28-03-2018/ Physical: 03-02-2017,Total,"5,954.97","1,540.61",128.770,0.000,128.240,"5,125.92",380.12
