Textbox24,Textbox28
State: Karnataka     District : Bangalore R           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 3   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Bangalore R ,DPIU Of Bangalore r,Devanahalli,KN02120,2019 - 2020,ROAD,"MRL07-MDR (Budigere road) to Tellahally agrahara road  via Boodihal, Channahally,Chikka Hosahally",Upgarde,"Bettakote [ 127725], BettaKote Amanikere [ 127726], Boodihal [ 175074], Channahalli [ 205137], Chikka Hosahally [ 221945], Doddahosahalli [ 305440], Nallur [ 754463], Reddihally [ 919264], Thellahally Agrahara [ 1048678]","MDR (Budigere road) to Tellahally agrahara road  via Boodihal, Channahally,Chikka Hosahally",,362.99,147.46,6.550,0.000,5.900,353.90,Maintenance,Regular PMGSY,Ramesh V R [15 Jun 2020],41.21,Financial: 03-02-2022/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Bangalore R ,DPIU Of Bangalore r,Devanahalli,KN02122,2019 - 2020,ROAD,"MRL21-NH-207 to Taluk Border via, konaginabele, Doddakurubarahally, Varadenahally, Naganayakanahally, ",Upgarde,"Bommanahalli [ 174083], Cheemachanahally [ 212704], Devanahalli Town [ 263165], Doddakurubarahally [ 305518], Gokare [ 367243], Ibasapura [ 429796], Konaginabele [ 576238], Mattabaralu [ 687794], N Palya [ 736353], Naganayakanahalli [ 742019], Papanahalli [ 821459], Polanahalli [ 860100], Varadenahally [ 1088550]","NH-207 to Taluk Border via, konaginabele, Doddakurubarahally, Varadenahally, Naganayakanahally, ",,825.06,334.90,11.380,0.000,11.740,819.25,Maintenance,Regular PMGSY,B.N. Devaraj [15 Jun 2020],66.99,Financial: 30-10-2021/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Bangalore R ,DPIU Of Bangalore r,Devanahalli,KN02121,2019 - 2020,ROAD,"MRL09-SH 104 to Taluk Border via, Kondenahally, Kaggalahally, Jonnahally, Devanayakanahally",Upgarde,"Bhatra Marenahally [ 143943], Chowdappanahally [ 234413], Devanayakanahalli [ 263210], Jonnahalli [ 470393], Kaggalahally [ 480721], Kondenahalli [ 577539], Mallenahalli [ 663487], Ramanahally [ 899768], Somathanahally [ 1004266]","SH 104 to Taluk Border via, Kondenahally, Kaggalahally, Jonnahally, Devanayakanahally",,320.89,130.21,3.840,0.000,3.740,335.36,Maintenance,Regular PMGSY,Ramesh V R [15 Jun 2020],22.60,Financial: 03-02-2022/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Bangalore R ,DPIU Of Bangalore r,Devanahalli,KN02135,2020 - 2021,ROAD,"MRL17-NH-207 to Yelahanka Vijayapura Road(MDR-4) via, Haralur, Polanahally, Mattabaralu",Upgarde,"Bommanahalli [ 174083], Channarayapatna [ 205258], Haralur [ 398256], Mattabaralu [ 687794], Muddenahalli [ 720105], Polanahalli [ 860100], S Thellahally [ 929879]","NH-207 to Yelahanka Vijayapura Road(MDR-4) via, Haralur, Polanahally, Mattabaralu",,434.66,179.46,7.310,0.000,7.310,378.01,Maintenance,Regular PMGSY,B.N. Devaraj [18 May 2021],43.03,Financial: 03-08-2022/ Physical: 10-03-2022,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Bangalore R ,DPIU Of Bangalore r,Doddaballapur,KN02123,2019 - 2020,ROAD,"MRL06-Kondasandra to MDR 22  via  Thubagere, Nellugudige, Geddalapalya, Palpaldinne",Upgarde,"Duregenahally [ 317936], Geddalapalya [ 353097], Gedlapalya colony [ 1350994], Karnala [ 516219], Kondasandra [ 577378], Naraganahalli [ 759382], Nellugudige [ 1356746], Palpaldinne [ 812515], S Nagenahally [ 929738], Sothenahalli [ 1008419], Thubugere [ 1054168], Yedlahally [ 1109983]","Kondasandra to MDR 22  via  Thubagere, Nellugudige, Geddalapalya, Palpaldinne",,279.77,113.59,4.400,0.000,4.310,252.54,Maintenance,Regular PMGSY,VINYAS BUILDERS [15 Jun 2020],25.90,Financial: 23-09-2022/ Physical: 03-12-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Bangalore R ,DPIU Of Bangalore r,Doddaballapur,KN02125,2019 - 2020,ROAD,"T02-MDR 7 to MDR 4( KK Road) via Nellikuntepalya, Nelkunte, Tanda Nagashettihalli, Cheelanahalli,Tippur, Madeswara, Bomanahalli, Kadabyadarahalli ",Upgarde,"Bhaktharahally [ 134636], Bommanahally [ 174121], Byrapura [ 187872], Byrapura Thanda [ 1350802], Cheelanahally [ 212658], Chinnaveeranahalli [ 226957], Chokkanahalli [ 1356713], GalibiliKote [ 338350], Gundasandra [ 384932], Hanabe [ 395427], Kadabyadarahally [ 477646], Kalludevanahalli [ 491893], Kamalur [ 495550], Karenahally [ 513004], Madheswara [ 639483], Majarahosahalli [ 652934], Nagashettihally [ 743039], Nellakunte [ 777352], Nellikuntepalya [ 1352452], Rakkiramanahalli [ 1357092], Sevanagara [ 974018], Siravara [ 997222], Tanda [ 1352664], Tippur [ 1059257], Vanigarahally [ 1087555]","MDR 7 to MDR 4( KK Road) via Nellikuntepalya, Nelkunte, Tanda Nagashettihalli, Cheelanahalli,Tippur, Madeswara, Bomanahalli, Kadabyadarahalli ",,995.40,404.02,13.700,0.000,13.724,915.36,Maintenance,Regular PMGSY,K M Ashwathanaraya [15 Jun 2020],80.65,Financial: 03-02-2022/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Bangalore R ,DPIU Of Bangalore r,Doddaballapur,KN02124,2019 - 2020,ROAD,"MRL11-NH207 to Koluru via Thalagavara, Honnagatta",Upgarde,"Honnagatta [ 425284], Kodigehalli [ 569107], Koluru [ 575352], Kurubarahalli [ 605902], Madhagondahally [ 638663], Thalagavara [ 1044017]","NH207 to Koluru via Thalagavara, Honnagatta",,314.31,127.58,5.030,0.000,4.094,284.78,Maintenance,Regular PMGSY,VINYAS BUILDERS [15 Jun 2020],29.61,Financial: 23-09-2022/ Physical: 03-12-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Bangalore R ,DPIU Of Bangalore r,Hosakote,KN02126,2019 - 2020,ROAD,"MRL24-Banamakanahally MDR to Gundrahally via Agasarahally, Marasandrahally, Sathiganahally, Hedakanahally",Upgarde,"Agasarahalli [ 15000], Bylanarasapura [ 187727], Doddaganahalli [ 305355], Gundrahalli [ 385382], Hedakanahalli [ 419307], Hethakki [ 421098], Korati [ 580403], Marasandahalli [ 679651], Sathigenahalli [ 962994]","Banamakanahally MDR to Gundrahally via Agasarahally, Marasandrahally, Sathiganahally, Hedakanahally",,329.97,134.06,5.960,0.000,5.732,334.64,Maintenance,Regular PMGSY,MGANESH [15 Jun 2020],22.02,Financial: 30-10-2021/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Bangalore R ,DPIU Of Bangalore r,Hosakote,KN02127,2019 - 2020,ROAD,"MRL23-Kembliganahally to Bavapura via C.T. Gollahally, Malliyappanahally, K- Sathyavara, Channigalapura",Upgarde,"Bavapura [ 115822], Bhuvanahalli [ 159267], Bisanahalli [ 168414], Channigalapura [ 205334], Chinnathimmanagolla Halli [ 226876], D . Shettihalli [ 237659], Hosadimbahalli [ 425919], K. Sathyawara [ 475101], Karappanahalli [ 511598], Kembaliganahalli [ 532220], M Hosahally [ 634514], Mallyappanahalli [ 664176], Nakkanahalli [ 752711], Shivanapura [ 984385], Siddapura [ 988453]","Kembliganahally to Bavapura via C.T. Gollahally, Malliyappanahally, K- Sathyavara, Channigalapura",,408.78,166.11,6.740,0.000,6.732,416.42,Maintenance,Regular PMGSY,MGANESH [15 Jun 2020],35.06,Financial: 30-10-2021/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Bangalore R ,DPIU Of Bangalore r,Hosakote,KN02128,2019 - 2020,ROAD,"T02-Upparahalli TO Doddakoliga VIA, Muthakadally, Beguru, Kamblipura, Kurubarahally, Sonnadenahally",Upgarde,"Bagalur [ 65681], Beguru [ 119570], Bheemakanahalli [ 147198], Doddakoliga [ 305497], E Muthsandra [ 320447], Ekarajapura [ 323187], Hasigala [ 415425], Kallahalli [ 490958], Kamblipura [ 496971], Kempapura [ 532367], Kumbalahalli [ 596948], Kurubarahalli [ 605901], Muthasandra [ 734545], Muthukadalli [ 734780], Sompura [ 1004578], Sonnadenahalli [ 1006916], Sonnahallipura [ 1006922], Sonnebychanahalli [ 1006946], Upparahalli [ 1076092], Venkatapura [ 1094804], Yelachnayakanapura [ 1110138]","Upparahalli TO Doddakoliga VIA, Muthakadally, Beguru, Kamblipura, Kurubarahally, Sonnadenahally",,395.22,160.82,10.400,0.000,9.400,347.92,Maintenance,Regular PMGSY,B.N. Devaraj [15 Jun 2020],61.22,Financial: 17-08-2021/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,11,Bangalore R ,DPIU Of Bangalore r,Hosakote,KN02129,2019 - 2020,ROAD,"MRL05-Doddakoliga MDR TO Doddanallurahally MDR VIA, Chikkanallurahally, Beguru , Beemakanahally, Bagalur",Upgarde,"Chikkanallurahalli [ 222466], Doddanallurahalli [ 305617]","Doddakoliga MDR TO Doddanallurahally MDR VIA, Chikkanallurahally, Beguru , Beemakanahally, Bagalur",,373.24,151.69,6.160,0.000,6.126,349.35,Maintenance,Regular PMGSY,B.N. Devaraj [15 Jun 2020],34.20,Financial: 17-08-2021/ Physical: 01-06-2021,Total,"6,327.43","2,573.21",105.250,0.000,101.890,"5,855.34",590.06
