Textbox24,Textbox28
State: Karnataka     District : Kolar           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 3   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Kolar ,DPIU Of Kolar,Bangarpet,KN19146,2019 - 2020,ROAD,MRL10-Nayakarahalli To Hudukula - Sulikunte,Upgarde,"A. Gollahalli [ 7756], Akkammahadinna [ 22081], Allagahalli [ 26247], Aniganahalli [ 39197], Bavarahalli [ 115829], Beerandahalli [ 118903], Byranayakanahalli [ 187836], Chalaganahalli [ 195398], Chikkankandahalli [ 222499], Hanchala [ 395523], Hudukula [ 427571], Ithandlahalli [ 436997], Karahalli [ 509504], Laxmipura [ 624387], Madamangala [ 636591], Madigarahalli [ 641662], Mageri [ 643380], Manchenahalli [ 667571], Maragal [ 678927], Mavalli [ 689069], Mittamalahalli [ 705882], Mugulubele [ 721519], Narayanapura [ 761021], Nayakarahalli [ 773999], Nernahalli [ 778561], Pakarahalli [ 806948], Ramanayakanahalli [ 899938], Sampangipura [ 946366], Siddanahalli [ 988356], Sulikunte [ 1015893], Thimmapura [ 1050449], Vadandahalli [ 1082690], Vatrakunte [ 1090280], Venugopalapura [ 1095510], Yelaburgi [ 1110130]",Nayakarahalli To Hudukula - Sulikunte,,762.86,314.45,12.390,0.000,12.390,716.54,Completed,Regular PMGSY,G Chandre Gowda [13 Jul 2020],53.07,Financial: 30-12-2021/ Physical: 11-02-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Kolar ,DPIU Of Kolar,Bangarpet,KN19147,2019 - 2020,ROAD,"T09-RR Road to mothakpalli via doddagondahalli, yethur,nakkanahalli,dalavaihosahalli",Upgarde,"Bennavara [ 125485], Chinchandlahalli [ 224638], Chowdahali [ 1357334], Dalavaihosalli [ 244618], Doddagandlahalli [ 305357], Gaddur [ 333902], Gangapura [ 1357339], Jakkarasarakuppa [ 444914], Kangandlahalli [ 502585], Karadagur [ 509179], Kasireddigandlahalli [ 520777], Marauru [ 679882], Mothakapalli [ 717258], Mulareuv [ 723494], Nakkanahalli [ 752710], Nallaguttur [ 753921], Papenahalli [ 821609], Sanganahalli [ 948945], Settikunte [ 973788], Thathireddihalli [ 1047546], Thongalkuppa [ 1052704], Yethur [ 1111478]","RR Road to mothakpalli via doddagondahalli, yethur,nakkanahalli,dalavaihosahalli",,697.29,287.30,11.380,0.000,11.380,616.39,Maintenance,Regular PMGSY,ACR Projects [13 Jul 2020],57.65,Financial: 25-10-2022/ Physical: 22-12-2021,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Kolar ,DPIU Of Kolar,Bangarpet,KN19145,2019 - 2020,ROAD,MRL03-Dinnur to Budikote road,Upgarde,"Bommaganahalli [ 173992], Budikote [ 184429], Chigaralura [ 221178], Dinnuru [ 303690], Doddur [ 305872], Godagamande [ 364578], Gullahalli [ 383449], Guttahalli [ 388941], Hosahalli [ 426109], Kodagurki [ 568241], Kodagurki Colony [ 1371349], Kotthur [ 588000], Kottur [ 588101], Mothanur [ 717278], Pacharlahalli [ 799687], Palamadagu [ 808930], Pataramagulla [ 833600], purha [ 879585], Sontiganahalli [ 1007310], Upasapura [ 1075400]",Dinnur to Budikote road,,631.31,260.04,9.970,0.000,9.970,602.50,Completed,Regular PMGSY,G Chandre Gowda [16 Jun 2020],47.36,Financial: 28-03-2022/ Physical: 28-03-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Kolar ,DPIU Of Kolar,Bangarpet,KN19149,2019 - 2020,ROAD,"T14-Parandahalli MDR to baluvanahalli Via Anatharamapura,Muddegowdanahalli,Jangamanahalli,Madivala majara kottur",Upgarde,"Anantharamapura [ 36799], Baluvanahalli [ 83982], Batuvarahalli [ 115029], Billerahalli [ 164435], Bommadahalli [ 173985], Bytarayanahalli [ 187951], Devarahalli [ 263487], Gorlachinnahalli [ 375328], Jangamanahalli [ 453023], Kaggilahalli [ 480755], Kaverahalli [ 1352400], Kyasamballi [ 610564], Madivala Majara Guttahalli [ 641878], Muddegowdanahalli [ 720099], Nagalepalli [ 741698], Potharajanahalli [ 863546], Yerappanamanegalu [ 1110904]","Parandahalli MDR to baluvanahalli Via Anatharamapura,Muddegowdanahalli,Jangamanahalli,Madivala majara kottur",,367.38,151.97,6.430,0.000,6.430,349.29,Maintenance,Regular PMGSY,ACR Projects [13 Jul 2020],20.34,Financial: 25-10-2022/ Physical: 29-03-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Kolar ,DPIU Of Kolar,Bangarpet,KN19148,2019 - 2020,ROAD,"T10-KGF-Kuppam SH To Kyasamballi Via Parandahalli,Puttepalli,Kambampalli,Chaldiganahalli,Beeranakuppa,Nachandlahalli,Buchepalli,Madivala",Upgarde,"Allikurtekaderenahalli [ 26545], Beeranakuppa [ 118900], Buchepalli [ 182652], Chaldiganahalli [ 195616], Dayamanagalisalu [ 256187], Kammampalli [ 497752], Karadiganahalli [ 509294], Madivala [ 641876], Nachandlahalli [ 739191], Nakkanahalli [ 752709], Parandahalli [ 823186], Puttepalli [ 1357352], Ramapura [ 900344], Thongal [ 1052702], Thookal [ 1052793]","KGF-Kuppam SH To Kyasamballi Via Parandahalli,Puttepalli,Kambampalli,Chaldiganahalli,Beeranakuppa,Nachandlahalli,Buchepalli,Madivala",,376.21,155.52,7.060,0.000,7.060,352.78,Maintenance,Regular PMGSY,G Chandre Gowda [13 Jul 2020],30.20,Financial: 20-12-2021/ Physical: 30-06-2021,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Kolar ,DPIU Of Kolar,Kolar,KN19150,2019 - 2020,ROAD,T09-Vemagal  to Bommasandra(MDR),Upgarde,"Bommasandra [ 174256], Bussanahalli [ 187084], Byappanahalli [ 187598], Channappaihnahalli [ 205208], Hanumantapura [ 397281], Kallur [ 492089], Majara Banthiganahalli [ 1372683], Majara maruthinagara [ 1373451], Medihalli [ 691180], Naganala [ 741996], Settihalli [ 973768], Sugatur [ 1013112], Uppakunte [ 1075928], Urigili [ 1077526], vemagal [ 1093799]",Vemagal  to Bommasandra(MDR),,545.91,224.06,8.325,0.000,8.325,584.58,Maintenance,Regular PMGSY,C Narayanaswamy [28 Jul 2020],43.59,Financial: 14-03-2022/ Physical: 17-11-2021,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Kolar ,DPIU Of Kolar,Kolar,KN19151,2019 - 2020,ROAD,"T19-NH-4 TO manighatta  MDR Via  vardenahalli,chadumanahalli,kalhastipura,shillangere, vadagur ,kembodi,iragasandra, parehosahalli",Upgarde,"Basavanatta [ 110889], Bhatrahalli [ 143945], Chadamanahalli [ 189207], Gaddekannur [ 333729], Girnahalli [ 362867], Gooliganahalli [ 371104], Haralakunte [ 398223], Honnenahalli [ 425496], Iragasandra [ 434476], Jangasma Basavapura [ 453163], Kalahastipura [ 486098], Kallipura [ 491724], Kamadenahalli [ 494561], Karahalli [ 509503], Kembodi [ 532244], Kodiramasandra [ 569361], kolar amanikere [ 573211], Kolar Rural [ 573216], Koothandahalli [ 579277], Koothandahalli [ 579278], Krishnapura [ 590227], Kumbarahalli [ 597040], Kurubarahalli [ 605877], Marjenahalli [ 681314], Nadupalli [ 740918], Pare Hosahalli [ 824986], Seesandara [ 968107], Shillangere [ 982201], Tamaka [ 1030008], Thimasandra [ 1050157], Thippasandra [ 1050950], Vadagur [ 1082072], Varadenahalli [ 1088547], Yalawara [ 1109001]","NH-4 TO manighatta  MDR Via  vardenahalli,chadumanahalli,kalhastipura,shillangere, vadagur ,kembodi,iragasandra, parehosahalli",,885.33,366.01,16.580,0.000,16.580,841.18,Maintenance,Regular PMGSY,A.G Narayanaswamy & Co [03 Sep 2020],77.41,Financial: 31-08-2023/ Physical: 30-09-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Kolar ,DPIU Of Kolar,Malur,KN19153,2019 - 2020,ROAD,MRL09-Kolar Taluk Border to Yalavaguli,Upgarde,"Agara [ 14623], Chambe [ 198574], Chinnapaganahalli [ 226507], Doddamale [ 305538], Kavalagiriyanahalli [ 527714], Kondashettihalli [ 577387], korangutta [ 681090], Kuntanahalli [ 602209], Kunthanahalli Colony [ 1352616], Nakkanahalli [ 752708], Nidaramangala [ 782207], Pannamakanahalli [ 820290], Pudisettahalli [ 867263], Thotagowdanahalli [ 1053467], Tyakal [ 1067366], Yalavaguli [ 1108980]",Kolar Taluk Border to Yalavaguli,,586.00,237.95,8.852,0.000,8.852,570.81,Maintenance,Regular PMGSY,A.G Narayanaswamy & Co [03 Sep 2020],31.15,Financial: 31-03-2023/ Physical: 31-03-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Kolar ,DPIU Of Kolar,Malur,KN19156,2019 - 2020,ROAD,MRL22-Doddamale -Tekal road to Alahalli,Upgarde,"A G Colony [ 7450], Alahalli [ 23425], Amani Arasikere [ 28219], Huladenahalli [ 427811], Jinagathimmanahalli [ 466436], Ojarahalli [ 794317], Thimmanaikanahalli [ 1050351], Thoralakki [ 1053105], Venkatarajanahalli [ 1094993]",Doddamale -Tekal road to Alahalli,,384.96,156.41,6.595,0.000,6.595,370.22,Maintenance,Regular PMGSY,Krishna Reddy V [24 Jul 2020],31.97,Financial: 26-03-2022/ Physical: 23-02-2022,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Kolar ,DPIU Of Kolar,Malur,KN19152,2019 - 2020,ROAD,MRL04-Kolar Malur Hosur Road to M Sonnahalli,Upgarde,"Anchemuskur [ 37216], Chikkathirupathi [ 222634], Gollahalli [ 368687], Kalkere [ 490689], M Sonnahalli [ 634742], Rajakrishnapura [ 891016], Sampanagere [ 946350]",Kolar Malur Hosur Road to M Sonnahalli,,313.27,127.17,3.526,0.000,3.526,302.13,Maintenance,Regular PMGSY,Krishna Reddy V [24 Jul 2020],17.86,Financial: 26-03-2022/ Physical: 17-11-2021,Total,"9,516.43","3,909.81",159.655,0.000,159.647,"9,295.18",735.90
