Textbox24,Textbox28
State: Karnataka     District : Ramnagar           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 3   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN28137,2020 - 2021,ROAD,MRL20-Ramanathapura to Mylanayakanahallli Nagawara-Dasawara road,Upgarde,"Chikkenahalli [ 222706], Dasegowdana Doddi [ 253316], Kannasandra [ 505328], Mogenahally [ 708305], Nagawara [ 743187], Ramanathapura [ 899859], Thore Hosur [ 1053213]",Ramanathapura to Mylanayakanahallli Nagawara-Dasawara road,,455.38,182.45,8.800,0.000,7.920,423.02,Maintenance,Regular PMGSY,G .H .NAGARAJU [12 Jul 2021],48.07,Financial: 27-09-2023/ Physical: 15-05-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN28138,2020 - 2021,ROAD,MRL05-Narayanadoddi to Byrapatna Iggalur MDR,Upgarde,"Gerkalli [ 353981], Harokoppa [ 413599], Mengalli [ 698432], Narayana Thimmana Doddi [ 760917], Nunnur [ 792375], Sogala Palya [ 1360613]",Narayanadoddi to Byrapatna Iggalur MDR,,311.13,124.75,5.175,0.000,4.663,251.37,Maintenance,Regular PMGSY,G .H .NAGARAJU [12 Jul 2021],27.91,Financial: 27-09-2023/ Physical: 06-06-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN28153,2022 - 2023,ROAD,MRL15-Bagepalli Halagur SH to NH-275 via Lalagatta,Upgarde,"Bramhanipura [ 181665], Chikkamannugudde S.F [ 1360329], Kenha Bovi Doddi [ 533305], Silk Farm [ 991690], Tattekere [ 1360627], Yalachipalya [ 1108901]",Bagepalli Halagur SH to NH-275 via Lalagatta,,290.25,116.40,4.190,0.000,4.190,366.69,Maintenance,Regular PMGSY,M C Mahesh [24 Mar 2023],24.85,Financial: 28-03-2026/ Physical: 30-12-2024,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN28154,2022 - 2023,ROAD,"T01-Kengal Bevoor MDR to M B Halli via Devarahosahalli, Mogenahalli",Upgarde,"Abbur [ 9234], Angara Halli [ 38793], Aveera Halli [ 53955], Aveeralli [ 53957], Byadarahlli [ 187495], Cholamarana Halli [ 231341], Hanumapura Doddi [ 397534], Komanahalli [ 575561], Mogenahally [ 708305], Pare Doddi [ 824983], Ramapura [ 900347], Thore Hosur [ 1053213]","Kengal Bevoor MDR to M B Halli via Devarahosahalli, Mogenahalli",,376.29,150.82,6.650,0.000,5.990,321.75,Maintenance,Regular PMGSY,M C Mahesh [24 Mar 2023],39.43,Financial: 28-03-2026/ Physical: 05-01-2026,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28130,2020 - 2021,ROAD,MRL44-Kodihalli to Mallapura via Hosadoddi,Upgarde,"Channasandra [ 205270], Ganganahalli [ 343232], Hosadoddi [ 1357893], Kodihalli [ 569157], Kodipura [ 569351], Mallapura [ 663211], Munigowdanadoddi [ 726260]",Kodihalli to Mallapura via Hosadoddi,,189.60,76.14,3.210,0.000,3.505,186.05,Maintenance,Regular PMGSY,M/s. KPJ CONSTRUCTION PVT LTD  [28 Jul 2021],18.07,Financial: 30-08-2024/ Physical: 07-08-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28131,2020 - 2021,ROAD,MRL45-Thokanayakanahalli to Kadledoddi via Basavalingappanadoddi,Upgarde,"Ankappanadoddi [ 39873], Harobele [ 413539], Jyothinagara [ 474187], Kadalegowdanadoddi [ 477960], Margadaiahnagundi [ 680477], Siddanadoddi [ 988342], Thavarekatte [ 1047912], Thokanayakanadoddi [ 1052340]",Thokanayakanahalli to Kadledoddi via Basavalingappanadoddi,,214.78,86.21,3.790,0.000,4.169,278.80,Maintenance,Regular PMGSY,M/s. KPJ CONSTRUCTION PVT LTD  [28 Jul 2021],20.50,Financial: 30-08-2024/ Physical: 25-09-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28132,2020 - 2021,ROAD,"MRL13-Hanumanahalli to Yeduvanahalli via Kalegowdanadoddi, Madaiahnadoddi",Upgarde,"Cheelur [ 212681], Hanumanahally [ 397074], Hottegowandoddi [ 427056], Madaianadoddi [ 1358802], Vaddarahalli and Colony [ 1083031], Yeduvanahally [ 1110043]","Hanumanahalli to Yeduvanahalli via Kalegowdanadoddi, Madaiahnadoddi",,177.27,71.21,3.570,0.000,3.490,223.51,Maintenance,Regular PMGSY,Prakash Reddy V [12 Jul 2021],21.02,Financial: 10-12-2024/ Physical: 25-09-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28133,2020 - 2021,ROAD,MRL08-Hanumanahalli to Thenganaikanahalli via Gerahalli,Upgarde,"Chudahalli [ 235202], Gerahalli [ 353875], Hanamanahalli [ 395466], Honnahalli [ 425298], Kariyappanadoddi [ 514616], Mallapura [ 663211], Ramanahalli [ 899758], Thenganaikanahalli [ 1048865], Virupasandra [ 1098593], Yelavahalli [ 1110205]",Hanumanahalli to Thenganaikanahalli via Gerahalli,,473.68,189.77,8.245,0.000,7.686,428.11,Maintenance,Regular PMGSY,Prakash Reddy V [12 Jul 2021],46.41,Financial: 24-08-2026/ Physical: 05-01-2026,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28134,2020 - 2021,ROAD,MRL09-Kuthidimba to Muradi hosahalli via Kurubarahalli,Upgarde,"Chudahalli [ 235202], Eligara Colony [ 324246], Kothidimba [ 585832], Kumbaradoddi [ 597014], Kurubarahalli [ 605873], Kuthagondanahalli [ 608751], Muradi hosahalli [ 727151]",Kuthidimba to Muradi hosahalli via Kurubarahalli,,296.39,118.86,5.755,0.000,6.040,289.35,Maintenance,Regular PMGSY,Prakash Reddy V [12 Jul 2021],33.35,Financial: 10-12-2024/ Physical: 25-09-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Ramnagar ,DPIU Of Ramanagaram,Kanakpur,KN28135,2020 - 2021,ROAD,MRL06-Dalimba to Sasalapura via Sambegowdanadoddi,Upgarde,"Anamanahalli [ 35987], Dalimba [ 245030], Dyavegowdanadoddi [ 320326], Kalegowdanadoddi [ 488405], Sambegowdanadoddi [ 1357898], Sasalapura [ 961630], Vaddaradoddi [ 1082994]",Dalimba to Sasalapura via Sambegowdanadoddi,,199.54,80.12,3.695,0.000,3.695,110.77,Maintenance,Regular PMGSY,M/s. KPJ CONSTRUCTION PVT LTD  [28 Jul 2021],21.76,Financial: 30-08-2024/ Physical: 25-09-2023,Total,"5,959.09","2,390.24",106.650,0.000,104.278,"5,592.17",593.23
