slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1,459482,198,198-21-000007</a>Comprehensive Development of Vakil Garden City in ward no 198,SUHAS MEGHANATH NAID[phone removed],BR - 000109 / 15-Sep-2021CBR - / Rtgs - 001464 / 01-Apr-2025,4995487,4791650,203837
2,450586,72,072-18-000051</a>Repairs and Maintenance of Culverts at Ward Limits in Ward No 72 of Herohalli Sub Division,N DARSHAN [phone removed],BR - 000097 / 21-Aug-2021CBR - / Rtgs - 001465 / 01-Apr-2025,768186,653326,114860
3,480206,130,130-20-000170</a>Annual Maintenance of Drains and footbath in ward no 130,PRASANNA[phone removed],BR - 000168 / 01-Dec-2021CBR - / Rtgs - 001466 / 01-Apr-2025,770162,740236,29926
4,502727,130,130-20-000170</a>Annual Maintenance of Drains and footbath in ward no 130,PRASANNA[phone removed],BR - 000245 / 23-Feb-2022CBR - / Rtgs - 001467 / 01-Apr-2025,772212,742206,30006
5,488389,181,181-20-000007</a>Improvements to drain in 71st Cross beside police station Kumaraswamy layout 1st Stage in Ward No-181,Mr MANJUNATH M[phone removed],BR - 000134 / 31-Dec-2021CBR - / Rtgs - 002501 / 01-Apr-2025,2585345,2367495,217850
6,494433,170,170-19-000021</a>Improvements of roads and road side drains Arasu Colony and surrounding area in ward no 170,RAVI KUMAR B T[phone removed],BR - 000071 / 27-Jan-2022CBR - / Rtgs - 002502 / 01-Apr-2025,3816259,3225021,591238
7,497597,165,165-21-000020</a>Improvements to road and drains from Venkatadri Conventional Hall to ORR in CT bed area in Ward No-165 Ganesha Mandira.,SURESH B N [phone removed],BR - 000141 / 04-Feb-2022CBR - / Rtgs - 002503 / 01-Apr-2025,8892527,8165879,726648
8,497582,165,165-21-000021</a>Improvements to road and drains from Channammanakere Achukattu to Venkatadri Kalyana Mantapa in CT bed area in Ward No-165 Ganesha Mandira.,SURESH B N [phone removed],BR - 000140 / 04-Feb-2022CBR - / Rtgs - 002504 / 01-Apr-2025,9584323,8846182,738141
9,496659,124,124-20-000007</a>Providing RCC wall and Grill work to Railway parallel road at Handigudisalu slum in Ward 124.,R KUMARASWAMY[phone removed],BR - 000086 / 03-Feb-2022CBR - / Rtgs - 002505 / 01-Apr-2025,4939348,4174992,764356
10,500063,122,122-20-000016</a> Drilling of Borewells and maintenance of Existing Borewells works in ward no 122 K P Agrahara,PRADEEP BIRADAR[phone removed],BR - 000092 / 10-Feb-2022CBR - / Rtgs - 002506 / 01-Apr-2025,4645922,3954201,691721
